path,size,mtime,ext,drive
C:\Users\Admin\AppData\Local\JetBrains\PyCharm2025.2\log\open-telemetry-metrics.2025-09-18-09-58-23.csv,235,1758157103.9779384,.csv,C:\
C:\Users\Admin\AppData\Local\JetBrains\PyCharm2025.2\log\open-telemetry-metrics.2025-09-18-09-42-59.csv,304718,1758157102.6621196,.csv,C:\
C:\ProgramData\MSI\AI_Battery\20259_log.csv,54716,1758156618.0483944,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\found_files.csv,54553,1758156216.7885642,.csv,C:\
C:\Users\Admin\AppData\Local\JetBrains\PyCharm2025.2\log\open-telemetry-metrics.2025-09-18-09-37-07.csv,115537,1758156176.6203365,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\sklearn\datasets\data\linnerud_exercise.csv,233,1758155936.0630336,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\sklearn\datasets\data\linnerud_physiological.csv,240,1758155936.0630336,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\sklearn\datasets\data\wine_data.csv,11336,1758155936.0630336,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\sklearn\datasets\data\iris.csv,2885,1758155936.0620341,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\sklearn\datasets\data\breast_cancer.csv,120483,1758155936.0610337,.csv,C:\
C:\Users\Admin\AppData\Local\JetBrains\PyCharm2025.2\log\open-telemetry-metrics.2025-09-18-08-57-10.csv,770623,1758155826.9476461,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-sinh.csv,61722,1758155556.3562698,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-tan.csv,61728,1758155556.3562698,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-tanh.csv,61728,1758155556.3562698,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log2.csv,70546,1758155556.3552687,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-sin.csv,59981,1758155556.3552687,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log10.csv,70551,1758155556.3542452,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log1p.csv,61732,1758155556.3542452,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-expm1.csv,61728,1758155556.353245,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log.csv,11963,1758155556.353245,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-cosh.csv,62298,1758155556.352245,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-exp.csv,17903,1758155556.352245,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-exp2.csv,60053,1758155556.352245,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-cbrt.csv,62275,1758155556.3512444,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-cos.csv,60497,1758155556.3512444,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arcsinh.csv,61718,1758155556.3502448,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arctan.csv,61734,1758155556.3502448,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arctanh.csv,62768,1758155556.3502448,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arccosh.csv,62794,1758155556.349245,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arcsin.csv,62768,1758155556.349245,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arccos.csv,62794,1758155556.3482444,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\random\tests\data\sfc64-testset-1.csv,24841,1758155556.2311363,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\random\tests\data\sfc64-testset-2.csv,24834,1758155556.2311363,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\random\tests\data\philox-testset-1.csv,24853,1758155556.2301364,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\random\tests\data\philox-testset-2.csv,24839,1758155556.2301364,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\random\tests\data\pcg64-testset-2.csv,24846,1758155556.2291365,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\random\tests\data\pcg64dxsm-testset-1.csv,24834,1758155556.2291365,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\random\tests\data\pcg64dxsm-testset-2.csv,24840,1758155556.2291365,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\random\tests\data\mt19937-testset-1.csv,16845,1758155556.2281363,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\random\tests\data\mt19937-testset-2.csv,16826,1758155556.2281363,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv1\Lib\site-packages\numpy\random\tests\data\pcg64-testset-1.csv,24840,1758155556.2281363,.csv,C:\
C:\Users\Admin\Downloads\강의자료\(강의교안) 혼자 공부하는 SQL_Chapter04_v0.1.pdf,4707676,1758153728.7399056,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\sklearn\datasets\data\breast_cancer.csv,120483,1758121826.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\sklearn\datasets\data\iris.csv,2885,1758121826.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\sklearn\datasets\data\linnerud_exercise.csv,233,1758121826.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\sklearn\datasets\data\linnerud_physiological.csv,240,1758121826.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\sklearn\datasets\data\wine_data.csv,11336,1758121826.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\pptx\templates\default.pptx,34030,1758121675.0,.pptx,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\data_x_x2_x3.csv,132,1758120098.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\msft.csv,3211,1758120098.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\Stocks.csv,67924,1758120098.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\qt4_editor_options.pdf,1568,1758120098.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\subplots.pdf,1714,1758120098.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\zoom_to_rect.pdf,1609,1758120098.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\back.pdf,1623,1758120097.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\filesave.pdf,1734,1758120097.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\forward.pdf,1630,1758120097.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\hand.pdf,4172,1758120097.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\help.pdf,1813,1758120097.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\home.pdf,1737,1758120097.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\matplotlib.pdf,22852,1758120097.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\matplotlib\mpl-data\images\move.pdf,1867,1758120097.0,.pdf,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arccos.csv,62794,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arccosh.csv,62794,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arcsin.csv,62768,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arcsinh.csv,61718,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arctan.csv,61734,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arctanh.csv,62768,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-cbrt.csv,62275,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-cos.csv,60497,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-cosh.csv,62298,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-exp.csv,17903,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-exp2.csv,60053,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-expm1.csv,61728,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log.csv,11963,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log10.csv,70551,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log1p.csv,61732,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log2.csv,70546,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-sin.csv,59981,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-sinh.csv,61722,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-tan.csv,61728,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-tanh.csv,61728,1758120078.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\random\tests\data\mt19937-testset-1.csv,16845,1758120077.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\random\tests\data\mt19937-testset-2.csv,16826,1758120077.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\random\tests\data\pcg64-testset-1.csv,24840,1758120077.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\random\tests\data\pcg64-testset-2.csv,24846,1758120077.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\random\tests\data\pcg64dxsm-testset-1.csv,24834,1758120077.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\random\tests\data\pcg64dxsm-testset-2.csv,24840,1758120077.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\random\tests\data\philox-testset-1.csv,24853,1758120077.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\random\tests\data\philox-testset-2.csv,24839,1758120077.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\random\tests\data\sfc64-testset-1.csv,24841,1758120077.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\numpy\random\tests\data\sfc64-testset-2.csv,24834,1758120077.0,.csv,C:\
C:\Users\Admin\Downloads\InfoPilot\.venv\Lib\site-packages\tornado\test\csv_translations\fr_FR.csv,19,1758120068.0,.csv,C:\
C:\Users\Admin\Downloads\강의자료\(강의교안) 혼자 공부하는 SQL_Chapter03_v0.1.pdf,2964210,1758067329.9341526,.pdf,C:\
C:\Users\Admin\Downloads\201906.csv,17442933,1758008311.7924035,.csv,C:\
C:\ProgramData\MySQL\MySQL Server 8.0\Uploads\201906.csv,17442933,1758008311.7924035,.csv,C:\
C:\ProgramData\MySQL\MySQL Server 8.0\Data\mysql\slow_log.CSV,0,1757985215.6541502,.csv,C:\
C:\ProgramData\MySQL\MySQL Server 8.0\Data\mysql\general_log.CSV,0,1757985215.6490557,.csv,C:\
C:\Users\Admin\Downloads\강의자료\(강의교안) 혼자 공부하는 SQL_Chapter02_v0.1.pdf,4348898,1757980891.2074955,.pdf,C:\
C:\Users\Admin\Downloads\강의자료\(강의교안) 혼자 공부하는 SQL_Chapter01_v0.1.pdf,2450944,1757980889.6166828,.pdf,C:\
C:\Users\Admin\AppData\Local\JetBrains\PyCharm2025.2\log\open-telemetry-metrics.2025-09-15-16-40-20.csv,1438852,1757926341.9815156,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\forecast_results.csv,1439463,1757925619.5525649,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\model_performance.csv,143642,1757925619.5055664,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\forecast_results.csv,1454653,1757925043.1493683,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\model_performance.csv,56,1757925043.1033154,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\sklearn\datasets\data\linnerud_physiological.csv,240,1757924050.4306312,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\sklearn\datasets\data\wine_data.csv,11336,1757924050.4306312,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\sklearn\datasets\data\iris.csv,2885,1757924050.429631,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\sklearn\datasets\data\linnerud_exercise.csv,233,1757924050.429631,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\sklearn\datasets\data\breast_cancer.csv,120483,1757924050.4286313,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\msft.csv,3211,1757924025.0632212,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\data_x_x2_x3.csv,132,1757924025.060203,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\Stocks.csv,67924,1757924025.060203,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\zoom_to_rect.pdf,1609,1757924025.0582032,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\subplots.pdf,1714,1757924025.0572028,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\qt4_editor_options.pdf,1568,1757924025.0561879,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\move.pdf,1867,1757924025.0551877,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\matplotlib.pdf,22852,1757924025.054188,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\home.pdf,1737,1757924025.0531878,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\help.pdf,1813,1757924025.0521877,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\hand.pdf,4172,1757924025.0511706,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\forward.pdf,1630,1757924025.050171,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\filesave.pdf,1734,1757924025.0491705,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\matplotlib\mpl-data\images\back.pdf,1623,1757924025.0481706,.pdf,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-tan.csv,61728,1757923961.950655,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-tanh.csv,61728,1757923961.950655,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-sin.csv,59981,1757923961.9496548,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-sinh.csv,61722,1757923961.9496548,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log1p.csv,61732,1757923961.948655,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log2.csv,70546,1757923961.948655,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-expm1.csv,61728,1757923961.9476547,.csv,C:\
